term,pos,Agreed,definition,source,comments,ES,FR
activity,Noun,,A piece of development or humanitarian work done by a reporting organisation,https://iatistandard.org/en/guidance/standard-overview/preparing-your-data/activity-information/activity-defined/,,actividad,activité
activity identifier,Noun,,A globally unique identifier for the activity,https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/iati-identifier/,"Use of ""activity reference"" seems incorrect, going by the Standard",identificador de actividad,identifiant d'activité
address,Noun,,"The details or particulars of the place where someone lives, an organisation is situated or a webpage is located",Taken from BODS Glossary,,dirección,adresse
Application Programming Interface (API),Noun,,"A package of information - including coding language, functions, code snippets and tools - to allow third-party applications to connect with a software or data platform.",Taken from BODS Glossary,,Interfaz de programación de aplicaciones (API),Interface de programmation d'applications (API)
CC BY 4.0,Noun,,A Creative Commons license,,,CC BY 4.0,CC BY 4.0
character,Noun,,"Any letter, number, space, punctuation mark, or symbol typed or entered on a computer",https://techterms.com/definition/character,,carácter,caractère
classification,Noun,No,one of the groups or classes into which things may be or have been classified,https://www.dictionary.com/browse/classification,,clasificación,classification
condition,Noun,,A circumstance indispensable to some result; prerequisite; that on which something else is contingent,https://www.dictionary.com/browse/condition,,condición,condition
data,Noun,,"Information in digital format, as encoded text, numbers, multimedia images, audio, or video",https://www.dictionary.com/browse/data,,datos,données
data validation,Noun,,"Checking that data conforms to a system's or standard's requirements. For example, a data export is made on 11th Feb 2018 and a data standard requires the export date in YYYY-MM-DD format. The export date is recorded as '2018-02-11' which is valid and true. (Note: data can be valid without being true. In the previous example, if the export date had been recorded as '2018-11-02', the data is valid but incorrect.)",Taken from BODS Glossary,,validación de datos,validation des données
data verification,Noun,,"Checking that the data is actually true. For example, if a company claims that a person is its beneficial owner, is this backed up by other documentation?",Taken from BODS Glossary,,verificación de datos,vérification des données
downstream partner,Noun,,An organisation that receives money from another organisation to perform international development or humanitarian work. They can form part of a complex delivery chain and are typically at least one level removed in the delivery chain from the original donor organisation. ,,"Organisations that are directly funded by a donor can be called ""suppliers"", ""first-tier partners"" or simply ""partners""",asociado en la ejecución,partenaire en aval
donor,Noun,,"An organisation that makes a gift, grant, or contribution to another organisation, a fund or cause. Donor organisations can synonymously be called ""funders""",,Used interchangeably as funder,donante,donateur
download,Verb,,"To transfer (software, data, character sets, etc.) from a distant to a nearby computer",https://www.dictionary.com/browse/download,,descargar,télécharger
download,Noun,,"Software, data, etc., that has been downloaded:",https://www.dictionary.com/browse/download,,descargar,téléchargement
file,Noun,,A collection of related data or program records stored on some input/output or auxiliary storage medium:,https://www.dictionary.com/browse/file,,archivo,fichier
field,Noun,,An element of a structured dataset or data model that can contain an item of data.,Taken from BODS Glossary,,campo,champ
